,name,href,type,office,mean_people,mean_price,country,time
0,流浪地球,http://www.cbooo.cn/m/642412,科幻,465570,29,45,中国,2019-02-05
1,复仇者联盟4：终局之战,http://www.cbooo.cn/m/670808,动作,423761,23,49,美国,2019-04-24
2,疯狂的外星人,http://www.cbooo.cn/m/638300,喜剧,220278,30,42,中国,2019-02-05
3,飞驰人生,http://www.cbooo.cn/m/676018,喜剧,171769,25,42,中国,2019-02-05
4,蜘蛛侠：英雄远征,http://www.cbooo.cn/m/682139,喜剧,140918,17,36,美国,2019-06-28
5,扫毒2：天地对决,http://www.cbooo.cn/m/682018,剧情,128388,17,36,中国香港/中国,2019-07-05
6,大黄蜂,http://www.cbooo.cn/m/678494,动作,114778,11,36,美国,2019-01-04
7,哪吒之魔童降世,http://www.cbooo.cn/m/662685,动画,111264,30,37,中国,2019-07-26
8,惊奇队长,http://www.cbooo.cn/m/679862,动作,103335,14,37,美国,2019-03-08
9,比悲伤更悲伤的故事,http://www.cbooo.cn/m/684702,爱情,95389,15,31,中国台湾,2019-03-14
10,哥斯拉2：怪兽之王,http://www.cbooo.cn/m/682691,科幻,93495,15,36,美国,2019-05-31
11,阿丽塔：战斗天使,http://www.cbooo.cn/m/306285,动作,89527,14,38,美国/加拿大/阿根廷,2019-02-22
12,狮子王,http://www.cbooo.cn/m/684512,动画,80412,16,37,美国,2019-07-12
13,反贪风暴4,http://www.cbooo.cn/m/682238,动作,79427,11,35,中国/中国香港,2019-04-04
14,银河补习班,http://www.cbooo.cn/m/682208,剧情,78616,16,34,中国,2019-07-18
15,熊出没·原始时代,http://www.cbooo.cn/m/683172,动画,71507,22,39,中国,2019-02-05
16,大侦探皮卡丘,http://www.cbooo.cn/m/670828,动画,63930,10,35,美国/日本,2019-05-10
17,新喜剧之王,http://www.cbooo.cn/m/683395,喜剧,62486,24,43,中国/中国香港,2019-02-05
18,千与千寻,http://www.cbooo.cn/m/462582,动画,48654,12,31,日本,2019-06-21
19,绿皮书,http://www.cbooo.cn/m/684562,剧情,47800,13,33,美国,2019-03-01
20,白蛇：缘起,http://www.cbooo.cn/m/682701,动画,44956,10,34,中国/美国,2019-01-11
21,最好的我们,http://www.cbooo.cn/m/691279,爱情,41267,10,32,中国,2019-06-06
22,X战警：黑凤凰,http://www.cbooo.cn/m/666504,动作,40844,11,37,美国,2019-06-06
23,“大”人物,http://www.cbooo.cn/m/675107,动作,37878,9,36,中国,2019-01-10
24,何以为家,http://www.cbooo.cn/m/681412,剧情,37389,10,31,黎巴嫩/法国/美国,2019-04-29
